,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,915,4,14,10,5,0,6,2,33,11
automobile,3,973,0,0,0,0,2,0,3,19
bird,18,0,891,15,29,14,26,4,3,0
cat,6,2,18,820,18,91,26,7,3,9
deer,3,0,7,10,943,13,12,12,0,0
dog,2,0,11,61,14,899,4,7,2,0
frog,4,0,7,11,5,3,967,1,0,2
horse,5,0,0,6,12,22,1,949,2,3
ship,15,9,2,1,0,0,1,0,965,7
truck,5,23,2,3,1,0,0,0,10,956
