true_class,pred_class,count
cat,dog,91
dog,cat,61
airplane,ship,33
bird,deer,29
bird,frog,26
cat,frog,26
truck,automobile,23
horse,dog,22
automobile,truck,19
bird,airplane,18
cat,bird,18
cat,deer,18
ship,airplane,15
bird,cat,15
bird,dog,14
airplane,bird,14
dog,deer,14
deer,dog,13
deer,frog,12
deer,horse,12
