epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.5556951135253907,0.4529,1.0939532157897949,0.6055,0.1
2,1.035625620918274,0.63248,0.9112509227752685,0.6822,0.09972609476841367
3,0.8391175997543335,0.7046,0.7961811966896057,0.7229,0.09890738003669028
4,0.7375215569686889,0.74492,0.7225825631141662,0.7442,0.09755282581475767
5,0.6764009729766846,0.76664,0.6211293317794799,0.7847,0.09567727288213003
6,0.6372931950187684,0.77966,0.7615222727775574,0.7361,0.09330127018922194
7,0.6099040886878967,0.7897,0.569557685470581,0.8062,0.09045084971874737
8,0.5822901151275635,0.79728,0.622832797241211,0.7843,0.0871572412738697
9,0.5628451902008057,0.80372,0.5655749204635621,0.8024,0.0834565303179429
10,0.540291456451416,0.81402,0.6704885045051575,0.7778,0.07938926261462365
11,0.5238100480651855,0.8198,0.5086272811889648,0.83,0.07499999999999998
12,0.5057429277610779,0.8269,0.48052349224090574,0.8398,0.07033683215379001
13,0.48855148044586183,0.83048,0.4589703621864319,0.8416,0.06545084971874737
14,0.46702272733688355,0.84006,0.456298876619339,0.8476,0.06039558454088796
15,0.448483334646225,0.84536,0.47390591735839843,0.8438,0.05522642316338268
16,0.434516481590271,0.85098,0.4158276910305023,0.8587,0.05000000000000001
17,0.41643408574104307,0.8583,0.518886524629593,0.8304,0.04477357683661733
18,0.39446953413009644,0.86506,0.3747276135444641,0.8715,0.03960441545911203
19,0.379263739156723,0.86872,0.3469070645570755,0.882,0.03454915028125263
20,0.35209799848556517,0.87924,0.4185785131931305,0.8589,0.02966316784621
21,0.3331228441429138,0.88588,0.3253101059913635,0.8877,0.025000000000000012
22,0.3082713625049591,0.89358,0.3183722888469696,0.8921,0.02061073738537635
23,0.28836055112838743,0.90056,0.29480564079284666,0.9011,0.016543469682057107
24,0.26750157597541807,0.90884,0.2897267558097839,0.9022,0.012842758726130301
25,0.242585851726532,0.91716,0.266737451505661,0.9105,0.009549150281252635
26,0.22238190837860108,0.92334,0.2611470286369324,0.9115,0.006698729810778067
27,0.20631898431301116,0.93006,0.2573727096557617,0.9137,0.004322727117869953
28,0.19821990626335145,0.93158,0.25541013181209565,0.9136,0.002447174185242324
29,0.18773167114734648,0.9359,0.2451163716316223,0.9173,0.0010926199633097158
30,0.18183028365850448,0.93886,0.2458266625881195,0.9167,0.00027390523158633
