epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.3914097062683106,0.5166,0.9822386150360107,0.6505,0.1
2,0.843004492225647,0.70296,0.817996904373169,0.7143,0.09990133642141358
3,0.6842166869544983,0.7601,0.6539484329223633,0.7722,0.0996057350657239
4,0.5965850005149841,0.79162,0.654168860244751,0.7736,0.09911436253643444
5,0.5387355693912506,0.81328,0.6607509727478027,0.7767,0.09842915805643154
6,0.5020120033073425,0.82586,0.7087014012336731,0.7566,0.09755282581475767
7,0.4705745535469055,0.8343,0.5419710319042206,0.8154,0.09648882429441256
8,0.44503723819732666,0.84556,0.5242693944454193,0.8255,0.09524135262330098
9,0.42827884746551514,0.85146,0.5312787867546082,0.8191,0.09381533400219318
10,0.411130926361084,0.8572,0.4826179032325745,0.8365,0.09221639627510075
11,0.39569713726997374,0.86274,0.5406064465522766,0.8179,0.09045084971874737
12,0.3807985398101807,0.86674,0.4861933429718018,0.8393,0.08852566213878946
13,0.3675760091304779,0.87274,0.4545131022930145,0.8479,0.08644843137107057
14,0.3563792159938812,0.8753,0.4709413908958435,0.8426,0.08422735529643442
15,0.34850187774658203,0.87932,0.48773455200195315,0.8352,0.08187119948743447
16,0.3308117468547821,0.88594,0.45614131774902344,0.8457,0.07938926261462366
17,0.3211741425895691,0.88778,0.48106378698349,0.8406,0.07679133974894982
18,0.3145730935573578,0.89006,0.43437540502548216,0.8547,0.07408768370508576
19,0.3031739724445343,0.89372,0.48860026755332947,0.8349,0.07128896457825362
20,0.28843139199256895,0.89782,0.45616046352386475,0.8519,0.06840622763423389
21,0.28047284269332884,0.90204,0.41389168000221255,0.8641,0.06545084971874736
22,0.2671333846473694,0.90672,0.42727248935699463,0.8576,0.06243449435824272
23,0.2536878922462463,0.91162,0.4338310752391815,0.8567,0.05936906572928623
24,0.24248126490592956,0.91572,0.46895861673355105,0.8512,0.056266661678215216
25,0.23253621304512023,0.91948,0.43306109828948974,0.8589,0.053139525976465665
26,0.22007345500469208,0.92296,0.40465665583610533,0.8692,0.049999999999999996
27,0.208592702999115,0.92752,0.4009469983100891,0.8689,0.046860474023534326
28,0.1931337197780609,0.93314,0.4350081335067749,0.8605,0.04373333832178478
29,0.1772971871137619,0.93924,0.4460996357917786,0.8576,0.040630934270713764
30,0.1654142820739746,0.94288,0.39785167818069456,0.8738,0.03756550564175726
31,0.15266313375473023,0.9469,0.4136417387485504,0.8695,0.03454915028125265
32,0.14458607033729554,0.95012,0.3718022138118744,0.8807,0.03159377236576612
33,0.12365354880332947,0.95884,0.430035631942749,0.8681,0.028711035421746366
34,0.11105675621509552,0.96276,0.3781210816383362,0.8871,0.025912316294914226
35,0.09988213147640228,0.96682,0.37058074927330015,0.8866,0.023208660251050155
36,0.0864350737977028,0.97082,0.390691295337677,0.8847,0.020610737385376346
37,0.07246705666780472,0.97782,0.3602381729602814,0.8937,0.01812880051256551
38,0.06011157324552536,0.98062,0.3744861238479614,0.8903,0.015772644703565562
39,0.0518055325782299,0.98438,0.354539436340332,0.8958,0.013551568628929433
40,0.04330646570444107,0.98742,0.35412403330802916,0.8973,0.011474337861210542
41,0.03482809280693531,0.99034,0.3510633259773254,0.9015,0.009549150281252632
42,0.030010255893468857,0.99258,0.34055198588371277,0.9015,0.007783603724899257
43,0.025706114469766617,0.99366,0.34521251335144043,0.9021,0.0061846659978068205
44,0.02308271141588688,0.99488,0.34106959624290467,0.9036,0.004758647376699033
45,0.020483168778419495,0.99556,0.3386524160385132,0.904,0.0035111757055874327
46,0.018806652770638466,0.99574,0.3416267160415649,0.904,0.0024471741852423235
47,0.018701112898886204,0.99628,0.33976252737045287,0.9045,0.0015708419435684518
48,0.017742288756370544,0.99664,0.33812974820137026,0.9058,0.000885637463565564
49,0.01687186434060335,0.99664,0.3404525764465332,0.9058,0.00039426493427611173
50,0.016071140029728412,0.9971,0.337430899477005,0.9047,9.866357858642205e-05
