epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.4315928958892823,0.47522,1.028379448890686,0.6297,0.01
2,1.018909252052307,0.63438,0.8541142446517944,0.6943,0.009972609476841367
3,0.8627647952651978,0.69488,0.8167765724182129,0.7169,0.009890738003669028
4,0.7732013111495971,0.726,0.7903463682174683,0.7222,0.009755282581475769
5,0.7062960279273987,0.7527,0.6333267615318299,0.7772,0.009567727288213004
6,0.6575870325851441,0.7697,0.5603901973724366,0.8041,0.009330127018922194
7,0.6231123763656616,0.78014,0.5690080445766449,0.8049,0.009045084971874737
8,0.5915472033786774,0.7944,0.49964322028160096,0.828,0.00871572412738697
9,0.5611969716262818,0.80422,0.501693399810791,0.8279,0.008345653031794291
10,0.5359564925765992,0.81366,0.503553590965271,0.8286,0.007938926261462365
11,0.5143381264877319,0.8211,0.498429914522171,0.831,0.007499999999999999
12,0.49322117277145383,0.82808,0.443169010591507,0.85,0.007033683215379001
13,0.46550421890258786,0.83712,0.4100410331726074,0.8601,0.0065450849718747366
14,0.449861079158783,0.84346,0.3979790945529938,0.8676,0.006039558454088796
15,0.435719188747406,0.84956,0.4143168361663818,0.8577,0.0055226423163382676
16,0.4178828656387329,0.85418,0.38923545999526976,0.866,0.005000000000000001
17,0.40532975637435914,0.86038,0.3994919094085693,0.8611,0.0044773576836617335
18,0.39106408672332765,0.86308,0.3605644455909729,0.8771,0.003960441545911203
19,0.37484473321914674,0.87174,0.34414876623153684,0.882,0.003454915028125263
20,0.3613297197818756,0.87432,0.35758122005462645,0.8761,0.0029663167846209998
21,0.34859973994255067,0.87786,0.3335995388507843,0.8891,0.002500000000000001
22,0.33845801401138303,0.88224,0.33543829169273376,0.8905,0.0020610737385376348
23,0.3317984335899353,0.88566,0.32112141346931455,0.8926,0.0016543469682057104
24,0.321983730840683,0.88898,0.31645548963546755,0.8947,0.0012842758726130299
25,0.3123415909385681,0.89096,0.3072432165145874,0.8967,0.0009549150281252634
26,0.3061504299402237,0.89468,0.3119233326435089,0.8944,0.0006698729810778065
27,0.30403769131660463,0.89484,0.31001666088104246,0.8955,0.00043227271178699516
28,0.2980634781551361,0.89674,0.3105868062019348,0.8968,0.00024471741852423234
29,0.29788799715042114,0.89644,0.3086134408950806,0.8954,0.00010926199633097157
30,0.2945081838178635,0.89722,0.3080776113510132,0.8957,2.7390523158632995e-05
