epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.4679354286575317,0.47376,1.1249654397964477,0.6137,0.05
2,0.9937603108215332,0.64866,0.8606270286560058,0.7049,0.049863047384206834
3,0.8198297277832032,0.71106,0.8263162836074829,0.7127,0.04945369001834514
4,0.7271095191764831,0.74482,0.7332060195922852,0.7488,0.04877641290737884
5,0.6542923971939086,0.77276,0.6488259387493134,0.7819,0.047838636441065015
6,0.6137687125205994,0.78506,0.5420165522575379,0.8113,0.04665063509461097
7,0.5717852876281738,0.80208,0.5889403615951538,0.7947,0.045225424859373684
8,0.5393043080329895,0.81176,0.5174030965805053,0.8232,0.04357862063693485
9,0.5167989177322387,0.82148,0.5350656092166901,0.8171,0.04172826515897145
10,0.48189981576919555,0.83516,0.5563096791267395,0.8165,0.03969463130731182
11,0.4697403214263916,0.83806,0.4239133919477463,0.8531,0.03749999999999999
12,0.45055664457321165,0.84378,0.4475743176937103,0.8486,0.035168416076895005
13,0.4342004672050476,0.85044,0.4758883644104004,0.8415,0.032725424859373686
14,0.41169522376060486,0.8567,0.3958382273435593,0.866,0.03019779227044398
15,0.3981316988658905,0.8631,0.3792198096752167,0.8717,0.02761321158169134
16,0.3752599036979675,0.8711,0.3703153242588043,0.8736,0.025000000000000005
17,0.3591216979217529,0.8756,0.39695323505401614,0.8629,0.022386788418308667
18,0.34787832361221316,0.88088,0.3220557912349701,0.8906,0.019802207729556015
19,0.3253482465171814,0.88682,0.3528017117738724,0.8794,0.017274575140626316
20,0.30467710461616515,0.89578,0.3418431357860565,0.8815,0.014831583923105
21,0.28917411275863647,0.90114,0.3080943303108215,0.8944,0.012500000000000006
22,0.26910112097740174,0.90616,0.3190867546081543,0.8934,0.010305368692688175
23,0.2526853860092163,0.9124,0.2821573172569275,0.9043,0.008271734841028553
24,0.23902869894504547,0.91798,0.2763948757171631,0.9057,0.0064213793630651505
25,0.22328133415222168,0.92374,0.26585196554660795,0.9099,0.0047745751406263175
26,0.20717069182872772,0.9289,0.2620611091613769,0.9114,0.0033493649053890334
27,0.19837971064567567,0.93244,0.2619241687774658,0.9128,0.0021613635589349763
28,0.19072220210552215,0.93406,0.2596094316959381,0.9154,0.001223587092621162
29,0.18525352009773255,0.93778,0.2542457830905914,0.9159,0.0005463099816548579
30,0.18217375976324082,0.93764,0.253787131023407,0.9167,0.000136952615793165
