epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.5815972652816772,0.44604,1.0866732778549195,0.6134,0.1
2,1.0538828752136231,0.62434,0.9718168487548828,0.6644,0.09990133642141358
3,0.850335248374939,0.6994,0.7792290231704712,0.7248,0.0996057350657239
4,0.7530807884979248,0.7372,0.6801373588562012,0.7613,0.09911436253643444
5,0.6886215167617797,0.76084,0.6188938600540161,0.789,0.09842915805643154
6,0.6456844610977173,0.7769,0.5894903558731079,0.795,0.09755282581475767
7,0.6247933013153076,0.7849,0.6982186661720275,0.7603,0.09648882429441256
8,0.5983549933433533,0.79476,0.5693514538764953,0.8068,0.09524135262330098
9,0.5806034882164002,0.79764,0.5685246104717254,0.8077,0.09381533400219318
10,0.5622910123062134,0.80754,0.6923109511375427,0.7744,0.09221639627510075
11,0.5531843863677979,0.81032,0.6304044921875,0.787,0.09045084971874737
12,0.5394873941230774,0.81538,0.5285668756484986,0.8209,0.08852566213878946
13,0.5259569581604004,0.81782,0.4983766695022583,0.8329,0.08644843137107057
14,0.5200626300621033,0.82146,0.5241950929641723,0.8204,0.08422735529643442
15,0.5096378574562073,0.8247,0.5665698635101318,0.8071,0.08187119948743447
16,0.49687773233413696,0.8299,0.5218240337371827,0.8216,0.07938926261462366
17,0.48653343949317934,0.83226,0.6250349650382996,0.7985,0.07679133974894982
18,0.4815177460861206,0.8365,0.4425344091415405,0.8526,0.07408768370508576
19,0.4665886848258972,0.841,0.40507835521698,0.862,0.07128896457825362
20,0.4551936164093018,0.84394,0.5570376340866089,0.815,0.06840622763423389
21,0.44729437870025635,0.84616,0.4943598703384399,0.8328,0.06545084971874736
22,0.43932275644302365,0.84866,0.43629399366378785,0.8467,0.06243449435824272
23,0.4281149440574646,0.85238,0.4420033850669861,0.8471,0.05936906572928623
24,0.4162561094665527,0.85798,0.4791246654510498,0.839,0.056266661678215216
25,0.40679043773651125,0.85974,0.4526451108932495,0.8512,0.053139525976465665
26,0.3959970668506622,0.86386,0.4176755004882812,0.8622,0.049999999999999996
27,0.38923581615448,0.86612,0.3576365125656128,0.8774,0.046860474023534326
28,0.3739349475479126,0.87212,0.36311086015701294,0.8767,0.04373333832178478
29,0.3655205298137665,0.87384,0.387257096195221,0.8698,0.040630934270713764
30,0.3543226547718048,0.8799,0.46568330745697023,0.8477,0.03756550564175726
31,0.341286095123291,0.88372,0.34818749752044675,0.8837,0.03454915028125265
32,0.32889613636016846,0.88604,0.34218761587142943,0.8845,0.03159377236576612
33,0.3119266488170624,0.89226,0.33617906403541564,0.8863,0.028711035421746366
34,0.30503192628860476,0.89596,0.3384501585006714,0.8857,0.025912316294914226
35,0.29105735246658326,0.90018,0.33620275774002073,0.8883,0.023208660251050155
36,0.27573821849823,0.90492,0.3135518617630005,0.8963,0.020610737385376346
37,0.2595958026123047,0.91198,0.29436821718215944,0.9024,0.01812880051256551
38,0.2480155842256546,0.91438,0.3238060019493103,0.8954,0.015772644703565562
39,0.23086764073848726,0.9204,0.28022599258422853,0.9051,0.013551568628929433
40,0.21799378859996796,0.92442,0.26092160758972166,0.9131,0.011474337861210542
41,0.20241642619132996,0.9299,0.2563082335948944,0.9132,0.009549150281252632
42,0.18997918407917022,0.93558,0.2439886571407318,0.9171,0.007783603724899257
43,0.17718166721343995,0.93832,0.23602966175079346,0.9198,0.0061846659978068205
44,0.1678302188873291,0.94246,0.2390912693977356,0.9234,0.004758647376699033
45,0.15361539361953735,0.94706,0.22491958889961242,0.9257,0.0035111757055874327
46,0.147235393075943,0.9499,0.22665081167221068,0.9268,0.0024471741852423235
47,0.13912947591781616,0.95268,0.22697714352607726,0.9259,0.0015708419435684518
48,0.1365011117386818,0.95368,0.22322069754600524,0.9272,0.000885637463565564
49,0.13203082186698914,0.95504,0.22338955397605895,0.9268,0.00039426493427611173
50,0.13180809901952745,0.9551,0.22026076831817626,0.9278,9.866357858642205e-05
